# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: illegal.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             167   N   00000b20   ff5ff06f   00000b22   x17_a7     00001606
             168   N   00000b22   0000a035   00000b16   ---        --------
             173   N   00000b16   0000c791   00000b1a   x15_a5     00000065
             174   N   00000b1a   00f82023   00000b1c   ---        --------
             176   N   00000b1c   00000885   00000b20   ---        --------
             177   N   00000b20   ff5ff06f   00000b22   x17_a7     00001607
             178   N   00000b22   0000a035   00000b16   ---        --------
             183   N   00000b16   0000c791   00000b1a   x15_a5     00000063
             184   N   00000b1a   00f82023   00000b1c   ---        --------
             186   N   00000b1c   00000885   00000b20   ---        --------
             187   N   00000b20   ff5ff06f   00000b22   x17_a7     00001608
             188   N   00000b22   0000a035   00000b16   ---        --------
             193   N   00000b16   0000c791   00000b1a   x15_a5     00000074
             194   N   00000b1a   00f82023   00000b1c   ---        --------
             196   N   00000b1c   00000885   00000b20   ---        --------
             197   N   00000b20   ff5ff06f   00000b22   x17_a7     00001609
             198   N   00000b22   0000a035   00000b16   ---        --------
             203   N   00000b16   0000c791   00000b1a   x15_a5     00000020
             204   N   00000b1a   00f82023   00000b1c   ---        --------
             206   N   00000b1c   00000885   00000b20   ---        --------
             207   N   00000b20   ff5ff06f   00000b22   x17_a7     0000160a
             208   N   00000b22   0000a035   00000b16   ---        --------
             213   N   00000b16   0000c791   00000b1a   x15_a5     00000049
             214   N   00000b1a   00f82023   00000b1c   ---        --------
             216   N   00000b1c   00000885   00000b20   ---        --------
             217   N   00000b20   ff5ff06f   00000b22   x17_a7     0000160b
             218   N   00000b22   0000a035   00000b16   ---        --------
             223   N   00000b16   0000c791   00000b1a   x15_a5     0000006e
             224   N   00000b1a   00f82023   00000b1c   ---        --------
             226   N   00000b1c   00000885   00000b20   ---        --------
             227   N   00000b20   ff5ff06f   00000b22   x17_a7     0000160c
             228   N   00000b22   0000a035   00000b16   ---        --------
             233   N   00000b16   0000c791   00000b1a   x15_a5     00000073
             234   N   00000b1a   00f82023   00000b1c   ---        --------
             236   N   00000b1c   00000885   00000b20   ---        --------
             237   N   00000b20   ff5ff06f   00000b22   x17_a7     0000160d
             238   N   00000b22   0000a035   00000b16   ---        --------
             243   N   00000b16   0000c791   00000b1a   x15_a5     00000074
             244   N   00000b1a   00f82023   00000b1c   ---        --------
             246   N   00000b1c   00000885   00000b20   ---        --------
             247   N   00000b20   ff5ff06f   00000b22   x17_a7     0000160e
             248   N   00000b22   0000a035   00000b16   ---        --------
             253   N   00000b16   0000c791   00000b1a   x15_a5     00000072
             254   N   00000b1a   00f82023   00000b1c   ---        --------
             256   N   00000b1c   00000885   00000b20   ---        --------
             257   N   00000b20   ff5ff06f   00000b22   x17_a7     0000160f
             258   N   00000b22   0000a035   00000b16   ---        --------
             263   N   00000b16   0000c791   00000b1a   x15_a5     00000075
             264   N   00000b1a   00f82023   00000b1c   ---        --------
             266   N   00000b1c   00000885   00000b20   ---        --------
